work_id,total_expenditure,expenditure_transaction_count,unique_vendor_count,duplicate_transaction_count,duplicate_group_count,potential_duplicate_amount_total,days_to_sanction,days_to_completion,expenditure_vs_sanction_ratio,disbursement_vs_sanction_ratio,last_expenditure_date,days_since_last_expenditure,expenditure_exceeds_sanction,disbursement_exceeds_sanction,completed_without_completion_date,completed_without_disbursement,expenditure_without_matching_work,high_transaction_count,multiple_vendors,has_potential_duplicate_transaction,potential_duplicate_transaction
WS/MP18187/2025-2026/219989,499638.0,2,1,0,0,0.0,210,,0.999276,,2026-06-24,73,False,False,False,False,False,False,False,False,False
WS/MP18188/2026-2027/258053,,0,0,0,0,0.0,161,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18189/2026-2027/250031,,0,0,0,0,0.0,208,,,,,,False,False,False,False,False,False,False,False,False
WS/MP770/2026-2027/240654,199883.0,2,2,0,0,0.0,193,,0.999415,,2026-04-18,140,False,False,False,False,False,False,True,False,False
WS/MP18192/2025-2026/230729,139090.0,1,1,0,0,0.0,25,36,1.0,1.0,2025-11-12,297,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/192021,307259.0,1,1,0,0,0.0,96,,1.0,,2025-08-02,399,False,False,False,False,False,False,False,False,False
WS/MP18194/2025-2026/224169,99632.0,1,1,0,0,0.0,41,258,1.0,1.0,2025-12-12,267,False,False,False,False,False,False,False,False,False
WS/MP18388/2025-2026/188561,149999.0,1,1,0,0,0.0,150,,0.9999933333333333,,2025-08-29,372,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/210923,249886.0,1,1,0,0,0.0,122,123,0.999544,0.999544,2025-10-22,318,False,False,False,False,False,False,False,False,False
WS/MP18393/2025-2026/182181,500000.0,1,1,0,0,0.0,349,351,1.0,1.0,2026-03-11,178,False,False,False,False,False,False,False,False,False
WS/MP761/2026-2027/221186,268220.0,1,1,0,0,0.0,358,,0.8940666666666667,,2026-07-27,40,False,False,False,False,False,False,False,False,False
WS/MP18389/2025-2026/213470,356370.0,1,1,0,0,0.0,227,227,1.0,1.0,2026-02-13,204,False,False,False,False,False,False,False,False,False
WS/MP18389/2024-2025/158925,,0,0,0,0,0.0,41,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18388/2026-2027/182834,,0,0,0,0,0.0,532,,,,,,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/187655,100000.0,1,1,0,0,0.0,94,95,1.0,1.0,2025-07-02,430,False,False,False,False,False,False,False,False,False
WS/MP18189/2025-2026/184814,500000.0,1,1,0,0,0.0,82,185,1.0,1.0,2025-12-18,261,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/169298,997210.0,1,1,0,0,0.0,126,128,0.9982082082082082,0.9982082082082082,2025-06-04,458,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/162248,138006.0,1,1,0,0,0.0,327,328,0.9857571428571429,0.9857571428571429,2025-11-26,283,False,False,False,False,False,False,False,False,False
WS/MP18386/2025-2026/234901,500000.0,1,1,0,0,0.0,132,220,1.0,1.0,2026-04-25,133,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/262214,249241.0,1,1,0,0,0.0,30,,0.996964,,2026-08-17,19,False,False,False,False,False,False,False,False,False
WS/MP18393/2025-2026/140466,961083.0,1,1,0,0,0.0,371,373,0.7688664,0.7688664,2025-09-25,345,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/192682,,0,0,0,0,0.0,123,258,,,,,False,False,False,False,False,False,False,False,False
WS/MP18187/2025-2026/189978,,0,0,0,0,0.0,98,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18188/2026-2027/277812,,0,0,0,0,0.0,39,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18187/2026-2027/219976,456600.0,1,1,0,0,0.0,339,,0.9132,,2026-06-22,75,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/181671,199409.0,1,1,0,0,0.0,91,,0.997045,,2026-01-02,246,False,False,False,False,False,False,False,False,False
WS/MP18189/2025-2026/230722,420152.0,1,1,0,0,0.0,7,187,0.840304,0.840304,2026-04-15,143,False,False,False,False,False,False,False,False,False
WS/MP18393/2025-2026/182182,500000.0,1,1,0,0,0.0,98,395,1.0,1.0,2026-04-24,134,False,False,False,False,False,False,False,False,False
WS/MP18193/2024-2025/150632,129487.0,1,1,0,0,0.0,127,236,1.0,1.0,2025-06-28,434,False,False,False,False,False,False,False,False,False
WS/MP765/2025-2026/232940,,0,0,0,0,0.0,151,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18192/2025-2026/196895,9968364.0,4,1,0,0,0.0,10,,0.9968364,,2026-09-03,2,False,False,False,False,False,False,False,False,False
WS/MP770/2025-2026/219295,,0,0,0,0,0.0,26,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18389/2024-2025/158919,499490.0,1,1,0,0,0.0,41,280,1.0,1.0,2025-09-27,343,False,False,False,False,False,False,False,False,False
WS/MP18191/2025-2026/248702,249924.0,1,1,0,0,0.0,33,168,1.0,1.0,2026-05-04,124,False,False,False,False,False,False,False,False,False
WS/MP18188/2025-2026/159486,124660.0,1,1,0,0,0.0,174,431,0.99728,0.99728,2026-02-24,193,False,False,False,False,False,False,False,False,False
WS/MP18338/2026-2027/267792,179971.0,1,1,0,0,0.0,48,,0.9998388888888889,,2026-06-19,78,False,False,False,False,False,False,False,False,False
WS/MP18189/2025-2026/184336,292815.0,1,1,0,0,0.0,6,,0.97605,,2025-08-29,372,False,False,False,False,False,False,False,False,False
WS/MP18389/2024-2025/166939,186000.0,1,1,0,0,0.0,51,73,1.0,1.0,2025-04-03,520,False,False,False,False,False,False,False,False,False
WS/MP18192/2025-2026/232872,476907.0,1,1,0,0,0.0,135,,0.953814,,2026-07-01,66,False,False,False,False,False,False,False,False,False
WS/MP770/2026-2027/232544,466966.0,1,1,0,0,0.0,285,,0.933932,,2026-06-22,75,False,False,False,False,False,False,False,False,False
WS/MP18193/2025-2026/250171,307074.0,1,1,0,0,0.0,96,,0.767685,,2026-08-18,18,False,False,False,False,False,False,False,False,False
WS/MP761/2025-2026/153907,400000.0,1,1,0,0,0.0,180,270,1.0,1.0,2025-05-29,464,False,False,False,False,False,False,False,False,False
WS/MP770/2026-2027/195091,,0,0,0,0,0.0,492,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18388/2025-2026/188563,297000.0,1,1,0,0,0.0,78,233,0.99,0.99,2025-11-20,289,False,False,False,False,False,False,False,False,False
WS/MP761/2026-2027/224234,143565.0,1,1,0,0,0.0,316,,0.9571,,2026-06-20,77,False,False,False,False,False,False,False,False,False
WS/MP18190/2025-2026/152670,,0,0,0,0,0.0,231,,,,,,False,False,False,False,False,False,False,False,False
WS/MP18187/2025-2026/189882,149329.0,1,1,0,0,0.0,99,,0.9955266666666667,,2025-09-01,369,False,False,False,False,False,False,False,False,False
